,Site,Text
10,/wiki/France,"James Bond goes to Paris in A View to a Kill, climbing the Eiffel Tower. The start of Thunderball is also set in France, where Bond uses his jetpack. In Moonraker, Bond also visits Drax in France. Also a lot of Bond Girls actresses come from France, such as Claudine Auger as Domino, Carole Bouquet as Melina Havelock, Eva Green as Vesper Lynd, Léa Seydoux as Madeleine Swann, Sophie Marceau as Elektra King, Olga Kurylenko as Camille Montes and Bérénice Marlohe as Sévérine.
France on Wikipedia
"
11,/wiki/Foster,"Foster is a crew member of USS Wayne American nuclear submarine. He and the fellows are captured by Liparus. He remains a prisoner onboard the Liparus until James Bond frees him. CMDR Carter leads a raid on the ship's armory and provides weapons for the newly liberated British, American and Soviet sailors. They occupied Liparus. He sent to get the lines cleared to the submarine before the Liparus explodes.
"
12,"/wiki/Bad_Sign,_Good_Sign","Bad Sign, Good sign is an abandoned stage song composed by Monty Norman which was later reused and turned into the iconic James Bond theme tune.
In the made-for-DVD documentary Inside Dr. No, Norman performs a piece of music he wrote for the stage several years earlier entitled  , that resembles the melody of the ""James Bond Theme"" in several places.
I was born with this unlucky sneeze,
And what is worse I came into the wrong way round.
Pundits all agree that I'm the reason why,
My father fell into the village pond,
And drowned.
I was born... un-der a bad sign!
Everybody worries 'bout my sneeze.
Achew!
"
13,/wiki/Bill,"Bill was a fictional Wavekrest Marine Research security guard and Sanchez Cartel thug tasked with protecting the cartel's warehouse in Florida, United States. The minor character appeared in the 1989 James Bond film Licence to Kill, portrayed by stunt and actor Jeff Moldovan, and was also briefly featured in John Gardner's accompanying novelization.
Bill was one of two security guards present at Milton Krest's warehouse in Florida. He assisted in the maiming of DEA operative Felix Leiter by hauling a chunk of meat, which acted as bait for the shark which would attack him. Following the reprisal, the guards took care of rogue DEA agent Ed Killifer as he waited to be smuggled out of the country. He answers the door when a vengeful James Bond investigates the warehouse and later holds the spy at gunpoint when he infiltrates the facility at night. Bond, having discovered cocaine hidden in a maggot incubator, hurls a fistfull of maggots into the guard's face and throws him into the incubator, shutting the sliding drawer behind him with a 'Bon Appétit!'. Later, Bill's body is found by the police, along with that of the second guard and small pieces of Killifer.
"
14,/wiki/Diana_Rigg,"Dame Enid Diana Elizabeth Rigg (20 July 1938 – 10 September 2020) was an English actress. She was notable for playing Tracy Bond in the 1969 James Bond film, On Her Majesty’s Secret Service; having previously gained fame for portraying the character Emma Peel on British spy television series, The Avengers.
It was initially planned that her death would actually occur in Diamonds Are Forever (1971), but this idea was dropped during filming of On Her Majesty's Secret Service when current-Bond George Lazenby announced he would step down from the role.
She passed away at age 82 on September 10th 2020 in London.
"
15,/wiki/Ben_Cooke,"Benjamin Cooke (born March 17, 1974 in Leeds, England, UK) is an English stunt performer and fight coordinator. In addition to doubling Daniel Craig during the crane chase and stairway fight in 2006's Casino Royale, he also portrayed an MI6 agent and won a Taurus World Stunt award for his work on the film. He doubled Craig once more in the upside down via rope fight sequence in Quantum of Solace and for the opening segment of Skyfall.
He was also a stunt coordinator for the 2010 James Bond video games Blood Stone and updated version of GoldenEye.
"
16,/wiki/Ford_GT40,"The Ford GT40 Mk I was a high-performance endurance racing car launched by Ford Motor Company to win long-distance sports car races. The vehicle made a brief appearance in the 2002 James Bond film, Die Another Day, as one of Colonel Tan-Sun Moon's personal cars.
Among other classic vehicles in his personal collection, Colonel Tan-Sun Moon owned a Ford GT40 Mk I in 'Gulf Oil' racing colours. It was initially kept at his military base on the demilitarised zone in North Korea, alongside a Porsche 911 Carrera, Mercedes Benz SL, Ferrari F355 Berlinetta and Lamborghini Diablo. During James Bond's explosive escape from the facility only the Porsche is destroyed. The other cars survive and are later seen on Graves' plane above North Korea. Later, when Graves is killed and the plane is damaged, Bond and Jinx escape the plane on a helicopter. The GT40 is among the cars which fall out of the plane and was presumably destroyed.
"
17,/wiki/G%C3%B6tz_Otto,"Götz Otto (born October 15, 1967 in Dietzenbach, West Germany) is a German actor who is internationally recognized for his portrayal of the villainous henchman Stamper in the 1997 James Bond film Tomorrow Never Dies (with Pierce Brosnan). His other film and telefilm credits include: Schindler's List(with Ralph Fiennes), Earthquake in New York, Gunblast Vodka, Deep Freeze, Der Untergang (A.K.A. Downfall), Ring of the Nibelungs, Alien Autopsy, Iron Sky and Cloud Atlas (with Halle Berry). He also appeared on the 2010 mini-series ""Pillars of the Earth"".
"
18,/wiki/Berenice_Marlohe,"Bérénice Marlohe (May 19, 1979) is a French actress and model.
She first came to international attention when she was cast as the glamorous and enigmatic Sévérine in Skyfall, the twenty-third Bond film. Before that she made appearances on the French shows ""Père et Maire"", ""Femmes de loi"", ""Equipe médicale d’urgence"". She is currently filming the French comedy ""Un bonheur n'arrive jamais seul"" with Sophie Marceau.
"
19,/wiki/Felix_Leiter_(Jeffrey_Wright),"Felix Leiter is a fictional American CIA intelligence operative. Based on the literary character created by Ian Fleming, Leiter is portrayed by American actor, Jeffrey Wright, and first appeared in the 2006 film, Casino Royale, and was later seen in its 2008 sequel, Quantum of Solace. He again reprises his role in No Time to Die (2021), making him the only actor to play the role of Felix Leiter in three films.
At the Casino Royale in Montenegro Leiter plays in the high-stakes poker game against James Bond and Le Chiffre. Unable to beat Le Chiffre, Leiter backs Bond with a $5 million buy in, after Bond misreads Le Chiffre's bluff, under the agreement that the CIA be the ones to arrest Le Chiffre after the game.
Later, Felix and Gregg Beam work with General Medrano's regime to ensure America gets oil rights in Bolivia when Medrano becomes president by force. Beam indeed negotiated a deal with Quantum operative, Dominic Greene, to ignore his orchestrated coup in Bolivia in exchange for oil, which the section chief assumed Greene had discovered; incorrectly interpreting Greene's bulk purchase of water piping. He and Leiter travel with the Quantum representatives to Austria and while discussing their business arrangements, Greene mentions that he has a 'pest' he would like eliminated as part of the deal. Beam glances at the photo of James Bond and passes it to Leiter, duplicitously asking him to identify it. When Felix lies to the men, Beam identifies Bond and tells Greene he will deal with him. Later in La Paz, 007 phones Leiter at their front office, Incan Exports, and arranges a meeting. Beam sends his men after Bond to kill him. However, Felix, disgusted by Beam's corruption, informs the spy of their dealings with Medrano and that their time window to talk is 30 seconds and warns him about his pursuers, allowing him to escape at the last minute. Following Medrano and Greene's demises, Beam is exposed for his crimes and Leiter replaces him as section chief as M says that to Bond.
Bond mentions Felix Leiter briefly to Lucia Sciarra as a form of protection.
Bond and another CIA agent named Paloma are able to capture Obruchev and the British brings Obruchev back to a boat where Leiter and Ash are waiting. Despite Ash telling Bond that his mission is over, Bond refuses to leave and angrily demands to know who Obruchev is working for. Ash, realizing that there's no way out, reveals his allegiance by pulling out a gun and shooting Leiter in the stomach before kicking him into the hull. The corrupt agent later sinks the ship with a limpet mine before leaving with Obruchev and bringing him over to his boss Safin. Bond escapes the ship, but Leiter bleeds out and drowns to his death, much to Bond's distraught.
Following Blofeld's death, Bond faces off against Ash again, as he invokes Leiter's name as justification, just before Ash is crushed to death by an overturned vehicle in revenge for Leiter's death. After killing Safin and his remaining men, Bond joins Leiter in death by sacrificing himself in a missile explosion to foil Safin's plot. 
Casino Royale allowed Leiter to re-appear and he and Bond meet for the first time in the film. Early script drafts for Quantum of Solace gave Wright a larger role, but his screen time was restricted by on-set rewrites. Wright became the second actor to play the role of Leiter multiple times after David Hedison in 1973's Live and Let Die and 1989's Licence to Kill. He returned to the role in No Time to Die.
Felix Leiter (Jeffrey Wright)/Gallery
"
20,"/wiki/From_Russia,_with_Love","From Russia, with Love, published in 1957, is the fifth James Bond novel written by Ian Fleming. From Russia, with Love is frequently considered the best James Bond novel by many fans and critics (although even critical opinion varies greatly). The novel is credited with launching the James Bond craze, and leading to the official EON Productions film series. Its biggest boost came four years after From Russia, with Love was published from an article in Life magazine on 17 March 1961 in which U.S. President John F. Kennedy included it in a list of his favorite books; the James Bond novel was the only work of fiction in the list of ten.
The title of the book is occasionally printed with a comma, as From Russia, with Love, depending upon the publisher. It is more commonly printed without the punctuation. In 1979, Oxford University Press published a simplified adaptation of the novel, written by Rosemary Border, under its Alpha Thrillers imprint; this version was intended for people learning to read.
In Istanbul, Bond meets Darko Kerim, the leader of the British substation in Istanbul. Bond likes this man on sight. The two men spend a great deal of time together over the next few days because Kerim believes Bond should not sit in one place and wait for Tatiana to approach him. During this time, Bond not only sees more of Istanbul than he ever wanted, but he becomes involved in a plot against Kerim by a local gang who work for the Russians. This plot has nearly killed Kerim once with a bomb and they attack Bond and Kerim a second time while they are visiting a gypsy friend of Kerim's. Kerim decides he must take out their leader in order to stop these attacks. Bond goes with Kerim and watches as he executes this man in cold blood.
The next morning, Kerim is found murdered. Bond decides to stay on the train, however. A man boards the train and Bond thinks he is another MI6 agent. The man agrees to share the guard duties and stays with Bond and Tatiana in their stateroom. However, the man is Grant, the assassin, and the next morning he allows his identity to be known.A confrontation between Bond and Grant takes place on board, when Grant is shot by Bond.
Later, after successfully delivering Tatiana to the West, Bond has a final encounter with Rosa Klebb in Paris which leaves her dead and Bond poisoned.
"
21,/wiki/Calculator_camera,"The calculator camera was a fictional subminiature camera disguised as a calculator. The equipment was developed by the British Secret Intelligence Service's (SIS/MI6) research and development division, Q-Branch, and was used during the 1985 James Bond gamebook, James Bond in Strike It Deadly.
Issued by Q-Branch, James Bond uses the calculator camera during an undercover meeting with megalomaniac industrialist, Max Zorin, at his French corporate headquarters. Introducing himself as inventor, ""Mr. Jameson"", Bond is taken on a tour of Zorin's microchip factory and attempts to take covert photographs of the production line. Zorin is intrigued by the ""handsome piece of hardware"" and asks to look at it. Bond obliges and, admiring the equipment, the villain confirms that he knew who 007 was all along. He is subsequently tied to a conveyor belt to be fed into a chip-pressing machine.
"
22,/wiki/Consuelo,"Consuelo is the fictional secretary to the Isthmian bank manager, Montelongo. A minor character portrayed by Actress, Cynthia Fallon, she first appeared in the 1989 James Bond film, Licence to Kill, and was fleshed out in John Gardner's accompanying novelization.
Consuelo was the secretary of Montelongo in the biggest bank of Isthmus, Banco de Isthmus. She helped her patron count James Bond's money.
"
23,/wiki/Glastron_Carlson_CV23HT,"x2 mine launchers (x6 mines)After reporting to an MI6 base in Brazil, Bond is provided with a modified Glastron Carlson CV23HT and travels the Amazon River looking for Hugo Drax's research facility. There, he encounters Jaws and other henchmen; a speedboat chase develops. Bond escapes from his boat just before it hits the Iguazu Falls, utilizing a concealed paraglider. The boat plummets over the edge of the waterfall and is presumed destroyed.
The Carlson's hidden equipment were armed and operated by switches on a pull-out drawer to the left of the steering wheel.
"
24,/wiki/Fatima_Khalid,"While investigating the Eblis terrorist group, whom she suspected was framing the Palestinian freedom movement as the culprits for several airliner crashes in order to discredit them, Fatima was captured and strapped to the top of a tower in hopes that vultures would tear her apart. However, she was saved by James Bond and his Heli-pack. He soon explained that he had tracked her from Beirut in order to learn of her connection to Eblis.
Fatima, however was not related to Eblis and explained that she had come to Bombay to meet a contact named Ibn Awad who had information on who was behind the Eblis attacks. She and Bond went to meet Awad, but found him dead. However, clutched in his hand was a note reading ""Huliraya"".
Bond's superiors determined that Huliraya was a person, and that he had gone to Kuwait, and the two bid one another goodbye at the airport. However, on discovering that the flight plan had been faked, Khalid went to Morocco to warn Bond before being kidnapped. She was kept in the ""House of the Tiger"" until Bond came to her rescue, and they were attacked by a tiger. It sprang at Bond, and Fatima used his gun to distract it before Bond warded it away with a lighted curtain rod. The pair then ran away to discover that the entire compound was deserted. Fatima had heard some of her captors say that Huliraya was leaving by sea, and Bond phoned his employers after meeting with Fatima's colleagues. Together they found which ship he was on, a tanker named Shirkahn, and Bond went to engage it.
However, within an hour of his leaving Fatima was again captured and dangled over the ship's shark tank, because Huliraya considered her a threat. However, Bond escaped and enlisted the aid of the British Navy in her rescue. She was brought onto the deck for a proposed inspection, and Bond rescued her again with the Heli-pack. After destroying the ship, Bond arranged to spend his awarded leave with Fatima.
"
25,/wiki/Ford_Consul,"The Ford Taunus is a mid-size car built by the British Ford subsidiary.
The car seen in the movie Dr. No is the second generation, called Mk.II or '204E'. It was produced from 1956 to 1962, so it was fairly new when the movie was filmed.
The Consul is an unmarked car belonging to the Jamaica Constabulary Force. It takes Bond and Superintendant Duff to the home of John Strangways in Kingston, Jamaica.
However, there are several Mk.II Consuls seen earlier in the movie.
The unmarked police car which is used during the arrest of Miss Taro is a different car (the interior is blue instead of red), but it is a Ford for sure. It might be a Consul as well, but could also be a Zephyr or Zodiac.
Bentley 4½ Litre - Bentley 3½ Litre - Bentley Mark VI - Bentley Mark II Continental - Bentley Mulsanne Turbo - Aston Martin DB5 - Aston Martin DB Mark III - Aston Martin DBS - Aston Martin V8 Vantage Volante - Aston Martin V12 Vanquish - Aston Martin DBS V12 - Lotus Esprit S1 - Lotus Turbo Esprit - BMW Z3 - BMW 750iL - BMW Z8 - BMW 520i - 
"
26,/wiki/David_Bautista,"David Michael ""Dave"" Bautista (born January 18, 1969) is an American actor and former wrestler. He played Mr. Hinx in the 2015 film SPECTRE.
Away from James Bond and WWE, his notable acting credits include Drax the Destroyer in the 2014 film of Guardians of the Galaxy.
Bautista will appear in the 2020 film version of Frank Herbert's novel Dune, alongside fellow Bond villain actor Javier Bardem. Bautista will play the villainous Count Glossu ""Beast"" Rabban Harkonnen.
"
27,/wiki/Claudine_Auger,"Claudine Auger was a French actress best known for her role as Bond girl Dominique ""Domino"" Derval in the 1965 James Bond film, Thunderball. She also earned the title of Miss France Monde and was the first runner-up in the 1958 Miss World contest.
"
28,/wiki/Elektra_King_(Sophie_Marceau),"Elektra Vavra King was the daughter of wealthy oil tycoon, Sir Robert King, but also a criminal mastermind associated with terrorist, Renard. One of the two main antagonists in the 1999 James Bond film The World Is Not Enough, she was portrayed by French actress, Sophie Marceau, and also appeared in the film's accompanying novelization penned by Raymond Benson as well as its video games.
Elektra is the daughter of Sir Robert King and his second wife. Her maternal background is of Azerbaijani descent; the family had fled the country immediately after the Soviet Union was established and relocated to England. Robert King's marriage had become a much noted affair as he managed to acquire his father-in-law's oil business and assimilate it into his own construction enterprise, forming the official King Industries.
Elektra's subsequent birth was also subject of much press coverage, foreshadowing much of the attention she would receive later on in her early adulthood. As the only daughter of a lucrative oil baron, Elektra had a privileged upbringing, becoming a tad bit spoiled in the process. She attended prestigious private schools around Europe and often spent summer vacationing with her maternal family in the Middle East. After college, Elektra decided to follow in her father's footsteps and join King Enterprises.
Much to the media's delight, Elektra's business affiliation and beauty made her a well known figure in the press. The fame eventually drew the attention of the anarchist Renard, who decided to kidnap her in a scheme to extort a large sum from her father. Sir Robert refused to pay the ransom on the advice of family friend (and James Bond's boss) M. Embittered, she became Renard's lover and participated in his scheme to extort money from her family (going so far as to mutilate her own left ear so Renard could send it to her father as a warning) but pretended to have been traumatized by the kidnapping. (Bond thought she suffered from Stockholm syndrome, but may have been blinded by his affection for her).
Having survived the bombing, Valentin Zukovsky and his men take mount a raid on the tower. Reaching the room where Elektra has Bond, he is shot by her. Dying, Zukovsky uses his cane gun to free Bond, who then chases after the fleeing Elektra, freeing M in the process. During a tense standoff, and at the business end of a gun, Bond demands that Elektra order Renard to call off the imminent meltdown in the city. Elektra then taunts Bond, telling him that he wouldn't shoot her and that he would miss her as she didn't see him as a killer of a former lover in cold blood. She then radios Renard and in her overconfidence on her hold over Bond, she instead tells him to proceed with the plan, and out of anger, Bond immediately kills her with a single gunshot while exclaiming ""I never miss"".
Elektra was a woman who was used to getting what she wants. She did not like to be resisted and will do anything to get her way, including using her charms, torturing and killing anyone who tries to stand in her way. She's also an excellent tactician and actress who passes for an innocent girl when she's really one of the brains behind her operation.
Elektra King/Gallery
"
29,/wiki/Andrea_Anders,"Andrea Anders was the fictional mistress of professional assassin Francisco Scaramanga. The character appeared in the 1974 James Bond film The Man with the Golden Gun and was portrayed by Swedish actress Maud Adams. Andrea also appeared in the James Bond 007 tabletop role-playing game.
At the start of the film, Andrea is seen with Francisco Scaramanga, a famous assassin, on his private island in Red Chinese waters, first helping him dry off after a swim and then sunbathes with him. After the pre-title sequence, the plot for the story becomes clear: James Bond has been sent a note from Scaramanga, with a golden bullet engraved with '007'. As the plot unfolds it becomes clear that Miss Anders sent the note and the bullet hoping Bond would come and eventually kill Scaramanga. She considers Scaramanga a ""monster"" but she cannot just leave him because, according to her, people just don't walk out on him as he would kill her or have her killed.
After watching the mysterious Miss Anders collect a shipment of Scaramanga's custom-made gold bullets from a casino in Macau, Bond follows her back to her hotel in Hong Kong and walks in on her as she showers. Startled, she opens the shower door and points a Beretta at him (Bond quips 'a water pistol?'). Demanding a bathrobe she escorts him out of the bathroom at gunpoint. 
As she makes a call to the reception desk, Bond lifts and opens the cigarette packet containing Lazar's bullets. Unnerved, she orders him to give them to her. He obliges and as he passes her the packet, he knocks the weapon from her hand and pins her to the bed. Bond proceeds to interrogate Andrea about her connection with Scaramanaga, threatening first to break her arm if she refuses and then slapping her when she proves uncooperative. She eventually reveals that she is his mistress and divulges his location for that evening; the Bottoms Up Club.
Later that evening, after assassinating British scientist named Gibson, Scaramanga returns to his Junk moored in Hong Kong harbour. Andrea is in bed awaiting him looking uncomfortable. Drawing the golden gun from his jacket pocket, he sensuously caresses her arm and lips with the weapon, eliciting a fearful and repulsed response from the girl.
Later, while romancing fellow agent Mary Goodnight, Bond is visited by Andrea in his hotel room, where she says that she wants Scaramanga dead and she says that Bond can have anything that he wants as long as he kills him. Bond considers the solex agitator, and the young woman says that he can have it and her as well (saying she is not unattractive). She then changes into a light blue bathrobe which Bond admits is charming, and Anders turns off the light. Bond and Andrea kiss and 007 says that sending the bullet to MI6 was an inspiration. He then opens up her bathrobe, and drops it. It falls to the floor leaving her completely naked and the two of them engage in sex.
That night, Andrea goes back to Scaramanga on his junk, on the pretence she has been to the cinema. Scaramanga demandingly asks where she has been, to which she replies 'it was a double feature' (still claiming she was at the cinema). As she puts away her jewellery in Scaramanga's safe, she sees the solex agitator and thinks of Bond. Suspecting she is up to something, Scaramanga enquires what she is doing, and his reply is 'I'm just putting my jewellery away'.
The next morning, Bond meets Miss Anders at a Thai kick boxing match to pick up the solex, but upon arriving and finding that she is not replying, Bond finds that she has already been shot and killed after Scaramanga discovers her deceit. Scaramanga had shot her in such a manner that the bullet struck her heart but the entry wound was partially concealed by her jacket. Obviously searching for the solex after her murder, Scaramanga fails although Bond notices once Scaramanga comes and sits next to him that the solex had fallen out of her purse onto the floor, and Bond carefully guides it with his foot as Scaramanga says of Anders: ""Forget the girl, she is replaceable"".
In the end, Andrea got her wish when Bond gunned Scaramanga down during a duel on his island.
Though having loved Scaramaga, Andrea became fearful of him and loathed his trigger-happy enjoyment of killing. She was willing to do whatever it took to rid herself of this ""monster"" forever even if it meant deceiving others, which is why she set up Bond to kill Scaramanga in the first place, as in her opinion, simply leaving her former lover would only make her his next target. However after feeling guilty for setting Bond up, she willing agreed to help in his mission if it meant he would kill Scaramanga for her.
Andrea Anders/Gallery
"
30,/wiki/Caroline_Bliss,"Caroline Bliss is an English actress who trained at the Bristol Old Vic Theatre School. She is a granddaughter of composer Sir Arthur Bliss. 
She played M's secretary, Miss Moneypenny, replacing Lois Maxwell in the James Bond films of the Timothy Dalton era, the films The Living Daylights and Licence to Kill. She was succeeded by Samantha Bond in 1995 who is a childhood friend of Bliss'.
"
